,title,i7,ezpool,ezpool_counts,too_short,match_1,match_multiple,overall_align,CDS,CDS_inverse,ncRNA_inverse,ncRNA,rRNA_inverse,rRNA,tRNA,tRNA_inverse,mean,5th,10th,50th,90th,95th
38,rz_5m-rele2,2,15,20470068,15591,79.01,17.55,97.99,13805365.0,280325.0,10533.0,3558164.0,61974.0,3155852.0,789901.0,2333.0,260.61901548718436,125.0,158.0,254.0,372.0,418.0
39,rz_5m-chpb2,2,16,18838575,3171,72.39,23.67,97.63,8230555.0,267879.0,22320.0,6125861.0,74150.0,4096799.0,747966.0,2516.0,271.33616225417023,156.0,179.0,271.0,381.0,429.0
40,rz_5m-hica2,2,17,19912808,6237,59.99,36.27,97.78,8115972.0,330154.0,14200.0,4561958.0,242484.0,6738605.0,733573.0,1259.0,278.81132537776364,152.0,179.0,272.0,388.0,434.0
41,rz_5m-yhav2,2,18,19314635,3770,74.54,22.06,98.0,13175685.0,340161.0,12435.0,2846136.0,239334.0,3565859.0,797828.0,2067.0,277.5682376596377,155.0,178.0,268.0,393.0,437.0
42,rz_5m-mqsr2,2,19,18880484,7268,66.05,29.46,97.38,9982640.0,345662.0,13356.0,3500237.0,199007.0,4910024.0,893458.0,2337.0,275.1810186476293,156.0,178.0,269.0,385.0,430.0
43,rz_5m-rnla2,2,20,9390489,6640,58.48,33.8,94.31,4177550.0,116096.0,5311.0,1769107.0,111344.0,2883812.0,261996.0,1412.0,280.047142152234,149.0,174.0,271.0,395.0,442.0
44,rz_5m-yoeb2,2,21,19180926,12337,68.48,27.53,97.66,11463370.0,229662.0,12034.0,3000389.0,107030.0,4359316.0,991334.0,2063.0,269.4094936731558,151.0,172.0,263.0,384.0,426.0
45,rz_5m-yafo2,2,22,17476926,6474,67.21,29.05,97.82,7691594.0,177099.0,8313.0,4746772.0,42842.0,4787501.0,746224.0,1475.0,275.6985318265978,153.0,178.0,269.0,389.0,438.0
46,rz_5m-yafq2,2,23,8879920,3856,64.55,31.83,98.04,3410664.0,108638.0,5962.0,2562949.0,61306.0,2676160.0,233641.0,2030.0,283.8467693134897,156.0,181.0,284.0,392.0,441.0
47,rz_5m-higb2,2,24,19753830,7869,58.18,37.1,97.27,9124905.0,381796.0,10592.0,3194812.0,376317.0,6644641.0,759486.0,1247.0,272.15010558902753,149.0,170.0,266.0,389.0,431.0
48,tot_5m-ev1,3,1,3395430,625,9.23,81.36,95.59,219128.0,15193.0,927.0,103897.0,18836.0,2729724.0,18989.0,174.0,313.19090610247275,164.0,188.0,305.0,448.0,488.0
49,tot_5m-mazf1,3,2,2919402,923,9.84,86.17,98.17,147813.0,7726.0,152.0,137358.0,874.0,2505673.0,40601.0,18.0,318.4250598272905,170.0,200.0,319.0,437.0,480.0
50,tot_5m-rele1,3,3,2916552,354,12.34,84.07,98.39,322652.0,5803.0,372.0,73134.0,2838.0,2432219.0,33201.0,107.0,307.20508296135586,168.0,188.0,294.0,447.0,479.0
51,tot_5m-chpb1,3,4,2942520,818,9.56,85.2,97.65,138379.0,4820.0,188.0,143119.0,3108.0,2503357.0,29762.0,45.0,314.79034563213787,172.0,200.0,298.0,458.0,493.0
52,tot_5m-hica1,3,5,2950904,785,10.66,84.51,97.84,178277.0,6223.0,188.0,147739.0,3236.0,2483865.0,25987.0,65.0,315.42289480554217,167.0,193.0,304.0,458.0,486.0
53,tot_5m-yhav1,3,6,3024468,495,23.35,72.27,98.09,552936.0,16434.0,601.0,211241.0,2185.0,2154948.0,63054.0,169.0,316.29789089103144,167.0,193.0,304.0,458.0,486.0
54,tot_5m-mqsr1,3,7,2967094,925,10.93,84.12,97.74,218149.0,6855.0,180.0,116999.0,2228.0,2482860.0,34134.0,164.0,311.21732349544425,168.0,192.0,298.0,449.0,485.0
55,tot_5m-rnla1,3,8,1415398,352,9.03,85.61,97.41,62977.0,1293.0,76.0,65326.0,591.0,1210191.0,12647.0,26.0,319.39859204148013,169.0,194.0,308.0,469.0,494.0
56,tot_5m-yoeb1,3,9,3166991,552,12.74,83.17,98.19,308924.0,11703.0,494.0,115827.0,13914.0,2608347.0,31440.0,220.0,303.5377707678554,171.0,197.0,274.0,427.0,481.0
57,tot_5m-yafo1,3,10,3388606,813,14.81,80.65,98.06,331110.0,12936.0,503.0,193567.0,18582.0,2706399.0,32111.0,219.0,317.03874845091536,167.0,192.0,301.0,457.0,508.0
58,tot_5m-yafq1,3,11,1649410,290,10.19,84.82,97.85,85933.0,2198.0,175.0,85661.0,1861.0,1396387.0,8766.0,45.0,317.3521658356208,168.0,191.0,305.0,472.0,488.0
